#       x             y         sig(y)
       4.752       33.316       0.466
       6.207       74.651       0.746
       1.454        4.371       0.049
      -3.151      -25.525       0.280
       0.215        2.221       0.491
       2.385        8.079       1.112
      -2.783      -19.154       0.104
      -1.766       -5.655       0.522
       0.930        3.290       0.307
       5.104       40.572       1.092
       0.388        3.485       0.529
       5.283       47.077       0.907
       1.976        5.745       0.245
       2.365        6.587       0.296
       2.672       10.529       2.142
      -0.289        1.234       0.487
      -1.927       -7.399       0.313
       3.844       18.299       0.495
       3.563       14.019       1.478
       3.260       11.772       0.784
       2.915        9.382       0.500
       0.134        3.887       1.303
      -1.872       -7.344       0.170
       3.366       13.835       0.321
       6.835       99.923       1.748
       3.156       11.998       0.318
       5.853       63.464       0.498
      -2.044      -10.087       1.142
       3.691       17.877       0.952
       1.876        7.050       1.828
       0.687        3.143       0.176
       1.172        5.952       2.056
       5.023       39.554       0.176
      -1.691       -5.291       0.221
      -1.386       -4.939       1.781
       3.836       19.647       0.955
       6.322       79.785       0.013
      -0.323        1.356       0.277
       6.188       73.783       0.928
      -1.507       -4.723       0.691
       0.602        2.832       0.388
       6.646       91.914       1.273
       3.914       19.130       0.565
       2.185        5.792       0.384
       1.318        4.581       0.478
       6.780       99.156       0.011
       4.446       28.598       0.683
      -2.676      -17.884       0.571
       6.583       88.908       1.561
       2.742        7.887       0.902

